cod_nat_catnat,cod_commune,lib_commune,num_risque_jo,lib_risque_jo,dat_deb,dat_fin,dat_pub_arrete,dat_pub_jo,dat_maj
INTE1625246A,59071,Bersée,54.0,Inondations et/ou coulées de boue,2016-06-07,2016-06-07,2016-09-16,2016-10-20,2022-05-24
INTE2112080A,59071,Bersée,59.0,Sécheresse,2020-04-01,2020-09-30,2021-04-20,2021-05-07,2022-05-24
IOME2308745A,59071,Bersée,59.0,Sécheresse,2022-03-31,2022-09-29,2023-04-02,2023-05-02,
INTE0200208A,59072,Bersillies,54.0,Inondations et/ou coulées de boue,2002-01-27,2002-01-27,2002-04-30,2002-05-05,2022-05-24
IOCE0823835A,59072,Bersillies,54.0,Inondations et/ou coulées de boue,2008-06-02,2008-06-02,2008-10-07,2008-10-10,2022-05-24
INTE1311772A,59073,Berthen,59.0,Sécheresse,2011-04-08,2011-06-30,2013-05-21,2013-05-25,2022-05-24
INTE1316150A,59074,Bertry,59.0,Sécheresse,2011-04-01,2011-06-30,2013-06-20,2013-06-27,2022-05-24
INTE1630434A,59078,Beugnies,54.0,Inondations et/ou coulées de boue,2016-06-23,2016-06-23,2016-10-26,2016-12-07,2022-05-24
INTE1824833A,59079,Beuvrages,54.0,Inondations et/ou coulées de boue,2018-05-28,2018-05-29,2018-09-17,2018-10-20,2022-05-24
INTE0500890A,59080,Beuvry-la-forêt,54.0,Inondations et/ou coulées de boue,2005-07-04,2005-07-04,2005-12-16,2005-12-30,2022-05-24
INTE1616446A,59080,Beuvry-la-forêt,54.0,Inondations et/ou coulées de boue,2016-06-07,2016-06-08,2016-06-15,2016-06-16,2022-05-24
IOCE1032143A,59082,Bierne,59.0,Sécheresse,2009-09-08,2009-09-30,2010-12-13,2011-01-13,2022-05-24
IOME2308745A,59082,Bierne,59.0,Sécheresse,2022-06-30,2022-09-29,2023-04-02,2023-05-02,
IOME2308745A,59083,Bissezeele,59.0,Sécheresse,2022-06-30,2022-09-29,2023-04-02,2023-05-02,
INTE1228647A,59084,Blaringhem,59.0,Sécheresse,2011-04-01,2011-06-30,2012-07-11,2012-07-17,2022-05-24
INTE1422767A,59084,Blaringhem,54.0,Inondations et/ou coulées de boue,2014-07-27,2014-07-27,2014-10-02,2014-10-04,2022-05-24
INTE2112080A,59084,Blaringhem,59.0,Sécheresse,2020-04-01,2020-06-30,2021-04-20,2021-05-07,2022-05-24
INTE2137449A,59084,Blaringhem,54.0,Inondations et/ou coulées de boue,2021-11-27,2021-11-29,2021-12-20,2022-01-14,2022-05-24
IOME2308745A,59084,Blaringhem,59.0,Sécheresse,2022-03-31,2022-09-29,2023-04-02,2023-05-02,
INTE1240955A,59086,Boeschepe,59.0,Sécheresse,2011-04-01,2011-06-30,2012-11-30,2012-12-06,2022-05-24
INTE1630434A,59086,Boeschepe,54.0,Inondations et/ou coulées de boue,2016-05-30,2016-05-30,2016-10-26,2016-12-07,2022-05-24
INTE2122515A,59086,Boeschepe,59.0,Sécheresse,2020-04-01,2020-06-30,2021-07-27,2021-08-31,2022-05-24
IOCE0772583A,59086,Boeschepe,54.0,Inondations et/ou coulées de boue,2007-07-23,2007-07-24,2007-12-05,2007-12-08,2022-05-24
IOME2308745A,59086,Boeschepe,59.0,Sécheresse,2022-03-31,2022-09-29,2023-04-02,2023-05-02,
IOME2330533A,59086,Boeschepe,54.0,Inondations et/ou coulées de boue,2023-11-01,2023-11-11,2023-11-13,2023-11-14,
IOME2333648A,59086,Boeschepe,,Inondations et/ou coulées de boue,2023-11-12,2023-11-23,2023-12-17,2023-12-27,
INTE0500890A,59087,Boëseghem,54.0,Inondations et/ou coulées de boue,2005-07-03,2005-07-04,2005-12-16,2005-12-30,2022-05-24
INTE1630464A,59087,Boëseghem,59.0,Sécheresse,2015-04-01,2015-09-30,2016-10-26,2016-12-16,2022-05-24
INTE2112080A,59087,Boëseghem,59.0,Sécheresse,2020-04-01,2020-06-30,2021-04-20,2021-05-07,2022-05-24
IOME2316198A,59088,Bois-grenier,59.0,Sécheresse,2022-03-31,2022-09-29,2023-07-21,2023-09-13,
INTE0200080A,59089,Bollezeele,54.0,Inondations et/ou coulées de boue,2001-09-19,2001-09-20,2002-02-27,2002-03-16,2022-05-24
INTE1630464A,59089,Bollezeele,59.0,Sécheresse,2015-04-01,2015-09-30,2016-10-26,2016-12-16,2022-05-24
INTE1920338A,59089,Bollezeele,59.0,Sécheresse,2018-10-01,2018-12-31,2019-07-16,2019-08-09,2022-05-24
