cod_nat_catnat,cod_commune,lib_commune,num_risque_jo,lib_risque_jo,dat_deb,dat_fin,dat_pub_arrete,dat_pub_jo,dat_maj
INTE9400004A,59640,Wargnies-le-petit,54.0,Inondations et/ou coulées de boue,1993-12-19,1994-01-02,1994-01-11,1994-01-15,2022-05-20
INTE9500497A,59640,Wargnies-le-petit,54.0,Inondations et/ou coulées de boue,1995-07-02,1995-07-02,1995-09-28,1995-10-15,2022-05-20
INTE9900627A,59640,Wargnies-le-petit,54.0,Inondations et/ou coulées de boue,1999-12-25,1999-12-29,1999-12-29,1999-12-30,2022-05-24
IOCE0829053A,59640,Wargnies-le-petit,54.0,Inondations et/ou coulées de boue,2008-06-02,2008-06-02,2008-12-05,2008-12-10,2022-05-24
IOCE0903436A,59640,Wargnies-le-petit,54.0,Inondations et/ou coulées de boue,2008-08-03,2008-08-03,2009-02-09,2009-02-13,2022-05-24
INTE9500338A,59641,Warhem,54.0,Inondations et/ou coulées de boue,1994-07-04,1994-07-04,1995-07-28,1995-09-09,2022-05-20
INTE9900627A,59641,Warhem,54.0,Inondations et/ou coulées de boue,1999-12-25,1999-12-29,1999-12-29,1999-12-30,2022-05-24
IOME2333648A,59641,Warhem,,Inondations et/ou coulées de boue,2023-11-01,2023-11-23,2023-12-17,2023-12-27,
INTE9900627A,59642,Warlaing,54.0,Inondations et/ou coulées de boue,1999-12-25,1999-12-29,1999-12-29,1999-12-30,2022-05-24
INTE9500070A,59643,Warneton,54.0,Inondations et/ou coulées de boue,1995-01-17,1995-01-31,1995-02-06,1995-02-08,2022-05-20
INTE9900627A,59643,Warneton,54.0,Inondations et/ou coulées de boue,1999-12-25,1999-12-29,1999-12-29,1999-12-30,2022-05-24
INTE9900627A,59645,Wasnes-au-bac,54.0,Inondations et/ou coulées de boue,1999-12-25,1999-12-29,1999-12-29,1999-12-30,2022-05-24
INTE1630434A,59646,Wasquehal,54.0,Inondations et/ou coulées de boue,2016-06-07,2016-06-07,2016-10-26,2016-12-07,2022-05-24
INTE9000289A,59646,Wasquehal,54.0,Inondations et/ou coulées de boue,1989-07-07,1989-07-09,1990-07-24,1990-08-15,2022-05-20
INTE9800324A,59646,Wasquehal,54.0,Inondations et/ou coulées de boue,1998-06-06,1998-06-06,1998-08-10,1998-08-22,2022-05-20
INTE9900488A,59646,Wasquehal,54.0,Inondations et/ou coulées de boue,1999-08-14,1999-08-14,1999-11-29,1999-12-04,2022-05-23
INTE9900627A,59646,Wasquehal,54.0,Inondations et/ou coulées de boue,1999-12-25,1999-12-29,1999-12-29,1999-12-30,2022-05-24
INTX9210277A,59646,Wasquehal,54.0,Inondations et/ou coulées de boue,1991-11-19,1991-11-20,1992-07-31,1992-08-18,2022-05-20
NOR19831005,59646,Wasquehal,54.0,Inondations et/ou coulées de boue,1983-06-21,1983-06-26,1983-10-05,1983-10-08,2022-05-20
INTE8800166A,59647,Watten,54.0,Inondations et/ou coulées de boue,1988-02-05,1988-02-10,1988-08-02,1988-08-13,2022-05-20
INTE9400065A,59647,Watten,54.0,Inondations et/ou coulées de boue,1993-12-17,1994-01-02,1994-02-02,1994-02-18,2022-05-20
INTE9900627A,59647,Watten,54.0,Inondations et/ou coulées de boue,1999-12-25,1999-12-29,1999-12-29,1999-12-30,2022-05-24
INTX9210277A,59647,Watten,54.0,Inondations et/ou coulées de boue,1991-11-19,1991-11-20,1992-07-31,1992-08-18,2022-05-20
IOME2330533A,59647,Watten,54.0,Inondations et/ou coulées de boue,2023-11-01,2023-11-11,2023-11-13,2023-11-14,
IOME2333648A,59647,Watten,,Inondations et/ou coulées de boue,2023-11-12,2023-11-23,2023-12-17,2023-12-27,
IOME2400974A,59647,Watten,,Inondations et/ou coulées de boue,2023-12-26,2024-01-10,2024-01-15,2024-01-23,
INTE0000626A,59648,Wattignies,54.0,Inondations et/ou coulées de boue,2000-07-27,2000-07-27,2000-11-06,2000-11-22,2022-05-24
INTE0100107A,59648,Wattignies,54.0,Inondations et/ou coulées de boue,2000-09-15,2000-09-15,2001-03-06,2001-03-23,2022-05-24
INTE0500890A,59648,Wattignies,54.0,Inondations et/ou coulées de boue,2005-07-04,2005-07-04,2005-12-16,2005-12-30,2022-05-24
INTE1529936A,59648,Wattignies,54.0,Inondations et/ou coulées de boue,2015-08-13,2015-08-13,2015-12-23,2016-01-22,2022-05-24
INTE9300602A,59648,Wattignies,54.0,Inondations et/ou coulées de boue,1993-06-10,1993-06-10,1993-10-26,1993-12-03,2022-05-20
INTE9800324A,59648,Wattignies,54.0,Inondations et/ou coulées de boue,1998-06-06,1998-06-06,1998-08-10,1998-08-22,2022-05-20
INTE9900627A,59648,Wattignies,54.0,Inondations et/ou coulées de boue,1999-12-25,1999-12-29,1999-12-29,1999-12-30,2022-05-24
IOCE0823835A,59648,Wattignies,54.0,Inondations et/ou coulées de boue,2008-05-15,2008-05-15,2008-10-07,2008-10-10,2022-05-24
INTE1630434A,59649,Wattignies-la-victoire,54.0,Inondations et/ou coulées de boue,2016-06-23,2016-06-23,2016-10-26,2016-12-07,2022-05-24
INTE9900627A,59649,Wattignies-la-victoire,54.0,Inondations et/ou coulées de boue,1999-12-25,1999-12-29,1999-12-29,1999-12-30,2022-05-24
BUDD8750068A,59650,Wattrelos,54.0,Inondations et/ou coulées de boue,1987-07-17,1987-07-17,1987-09-27,1987-10-09,2022-05-20
INTE0200700A,59650,Wattrelos,54.0,Inondations et/ou coulées de boue,2002-08-20,2002-08-20,2003-01-17,2003-01-24,2022-05-24
INTE0500890A,59650,Wattrelos,54.0,Inondations et/ou coulées de boue,2005-07-03,2005-07-04,2005-12-16,2005-12-30,2022-05-24
INTE1625246A,59650,Wattrelos,54.0,Inondations et/ou coulées de boue,2016-06-07,2016-06-07,2016-09-16,2016-10-20,2022-05-24
INTE1630434A,59650,Wattrelos,54.0,Inondations et/ou coulées de boue,2016-06-17,2016-06-17,2016-10-26,2016-12-07,2022-05-24
INTE9300602A,59650,Wattrelos,54.0,Inondations et/ou coulées de boue,1993-06-10,1993-06-10,1993-10-26,1993-12-03,2022-05-20
INTE9400003A,59650,Wattrelos,54.0,Inondations et/ou coulées de boue,1993-07-24,1993-07-25,1994-01-27,1994-02-11,2022-05-20
INTE9900627A,59650,Wattrelos,54.0,Inondations et/ou coulées de boue,1999-12-25,1999-12-29,1999-12-29,1999-12-30,2022-05-24
INTX9210277A,59650,Wattrelos,54.0,Inondations et/ou coulées de boue,1991-11-19,1991-11-20,1992-07-31,1992-08-18,2022-05-20
IOCE0823835A,59650,Wattrelos,54.0,Inondations et/ou coulées de boue,2008-05-14,2008-05-14,2008-10-07,2008-10-10,2022-05-24
NOR19831005,59650,Wattrelos,54.0,Inondations et/ou coulées de boue,1983-06-21,1983-06-26,1983-10-05,1983-10-08,2022-05-20
INTE9200181A,59651,Wavrechain-sous-denain,54.0,Inondations et/ou coulées de boue,1991-07-07,1991-07-08,1992-04-01,1992-04-03,2022-05-20
INTE9500497A,59651,Wavrechain-sous-denain,54.0,Inondations et/ou coulées de boue,1995-07-02,1995-07-02,1995-09-28,1995-10-15,2022-05-20
INTE9900627A,59651,Wavrechain-sous-denain,54.0,Inondations et/ou coulées de boue,1999-12-25,1999-12-29,1999-12-29,1999-12-30,2022-05-24
INTE1625246A,59652,Wavrechain-sous-faulx,54.0,Inondations et/ou coulées de boue,2016-06-07,2016-06-07,2016-09-16,2016-10-20,2022-05-24
INTE9900627A,59652,Wavrechain-sous-faulx,54.0,Inondations et/ou coulées de boue,1999-12-25,1999-12-29,1999-12-29,1999-12-30,2022-05-24
INTE9400065A,59653,Wavrin,54.0,Inondations et/ou coulées de boue,1993-12-17,1994-01-02,1994-02-02,1994-02-18,2022-05-20
INTE9900627A,59653,Wavrin,54.0,Inondations et/ou coulées de boue,1999-12-25,1999-12-29,1999-12-29,1999-12-30,2022-05-24
INTE0200199A,59654,Waziers,61.0,Inondations remontée nappe,2001-04-01,2001-08-31,2002-04-26,2002-05-05,2022-05-24
INTE0500890A,59654,Waziers,54.0,Inondations et/ou coulées de boue,2005-07-03,2005-07-04,2005-12-16,2005-12-30,2022-05-24
INTE1616446A,59654,Waziers,54.0,Inondations et/ou coulées de boue,2016-06-07,2016-06-08,2016-06-15,2016-06-16,2022-05-24
INTE9000289A,59654,Waziers,54.0,Inondations et/ou coulées de boue,1989-07-07,1989-07-09,1990-07-24,1990-08-15,2022-05-20
INTE9300213A,59654,Waziers,54.0,Inondations et/ou coulées de boue,1992-08-20,1992-08-20,1993-05-18,1993-06-12,2022-05-20
INTE9400127A,59654,Waziers,54.0,Inondations et/ou coulées de boue,1993-12-17,1994-01-02,1994-03-08,1994-03-24,2022-05-20
INTE9900627A,59654,Waziers,54.0,Inondations et/ou coulées de boue,1999-12-25,1999-12-29,1999-12-29,1999-12-30,2022-05-24
MDIE900017A,59654,Waziers,54.0,Inondations et/ou coulées de boue,1990-08-25,1990-08-25,1990-12-04,1990-12-15,2022-05-20
INTE0200080A,59655,Wemaers-cappel,54.0,Inondations et/ou coulées de boue,2001-09-20,2001-09-20,2002-02-27,2002-03-16,2022-05-24
INTE1633036A,59655,Wemaers-cappel,54.0,Inondations et/ou coulées de boue,2016-06-22,2016-06-22,2016-11-22,2016-12-27,2022-05-24
INTE9900627A,59655,Wemaers-cappel,54.0,Inondations et/ou coulées de boue,1999-12-25,1999-12-29,1999-12-29,1999-12-30,2022-05-24
INTE9800324A,59656,Wervicq-sud,54.0,Inondations et/ou coulées de boue,1998-06-06,1998-06-06,1998-08-10,1998-08-22,2022-05-20
INTE9900627A,59656,Wervicq-sud,54.0,Inondations et/ou coulées de boue,1999-12-25,1999-12-29,1999-12-29,1999-12-30,2022-05-24
INTX9210277A,59656,Wervicq-sud,54.0,Inondations et/ou coulées de boue,1991-11-19,1991-11-20,1992-07-31,1992-08-18,2022-05-20
NOR19831005,59656,Wervicq-sud,54.0,Inondations et/ou coulées de boue,1983-07-07,1983-07-07,1983-10-05,1983-10-08,2022-05-20
INTE9300372A,59657,West-cappel,54.0,Inondations et/ou coulées de boue,1991-11-19,1991-11-19,1993-08-16,1993-09-03,2022-05-20
INTE9900627A,59657,West-cappel,54.0,Inondations et/ou coulées de boue,1999-12-25,1999-12-29,1999-12-29,1999-12-30,2022-05-24
INTE0000626A,59658,Wicres,54.0,Inondations et/ou coulées de boue,2000-07-29,2000-07-29,2000-11-06,2000-11-22,2022-05-24
INTE9900627A,59658,Wicres,54.0,Inondations et/ou coulées de boue,1999-12-25,1999-12-29,1999-12-29,1999-12-30,2022-05-24
IOCE0771383A,59658,Wicres,54.0,Inondations et/ou coulées de boue,2007-07-20,2007-07-20,2007-11-22,2007-11-25,2022-05-24
INTE0000693A,59659,Wignehies,54.0,Inondations et/ou coulées de boue,2000-07-30,2000-07-30,2000-11-30,2000-12-17,2022-05-24
INTE0300095A,59659,Wignehies,54.0,Inondations et/ou coulées de boue,2002-11-10,2002-11-11,2003-02-24,2003-03-09,2022-05-24
INTE9300213A,59659,Wignehies,54.0,Inondations et/ou coulées de boue,1992-06-02,1992-06-03,1993-05-18,1993-06-12,2022-05-20
INTE9400004A,59659,Wignehies,54.0,Inondations et/ou coulées de boue,1993-12-19,1994-01-02,1994-01-11,1994-01-15,2022-05-20
INTE9900627A,59659,Wignehies,54.0,Inondations et/ou coulées de boue,1999-12-25,1999-12-29,1999-12-29,1999-12-30,2022-05-24
IOCE0829053A,59659,Wignehies,54.0,Inondations et/ou coulées de boue,2008-03-10,2008-03-11,2008-12-05,2008-12-10,2022-05-24
IOCE1109682A,59659,Wignehies,54.0,Inondations et/ou coulées de boue,2010-11-13,2010-11-14,2011-04-05,2011-04-10,2022-05-24
IOCE1128564A,59659,Wignehies,54.0,Inondations et/ou coulées de boue,2011-01-06,2011-01-07,2011-10-19,2011-10-23,2022-05-24
