cod_nat_catnat,cod_commune,lib_commune,num_risque_jo,lib_risque_jo,dat_deb,dat_fin,dat_pub_arrete,dat_pub_jo,dat_maj
INTE1316150A,59074,Bertry,59.0,Sécheresse,2011-04-01,2011-06-30,2013-06-20,2013-06-27,2022-05-24
INTE9100177A,59074,Bertry,59.0,Sécheresse,1990-01-01,1990-12-31,1991-03-28,1991-04-17,2022-05-20
INTE9700484A,59074,Bertry,59.0,Sécheresse,1991-01-01,1997-04-30,1997-11-03,1997-11-16,2022-05-20
INTE9000100A,59082,Bierne,59.0,Sécheresse,1989-06-01,1989-12-31,1990-03-09,1990-03-22,2022-05-20
INTE9100177A,59082,Bierne,59.0,Sécheresse,1990-01-01,1990-12-31,1991-03-28,1991-04-17,2022-05-20
INTE9300001A,59082,Bierne,59.0,Sécheresse,1990-01-01,1991-12-31,1993-01-25,1993-02-07,2022-05-20
INTE9800231A,59082,Bierne,59.0,Sécheresse,1992-01-01,1997-12-31,1998-06-12,1998-07-01,2022-05-20
IOCE1032143A,59082,Bierne,59.0,Sécheresse,2009-09-08,2009-09-30,2010-12-13,2011-01-13,2022-05-24
IOME2308745A,59082,Bierne,59.0,Sécheresse,2022-06-30,2022-09-29,2023-04-02,2023-05-02,
INTE9100177A,59083,Bissezeele,59.0,Sécheresse,1990-01-01,1990-12-31,1991-03-28,1991-04-17,2022-05-20
INTE9300372A,59083,Bissezeele,59.0,Sécheresse,1990-07-01,1991-12-31,1993-08-16,1993-09-03,2022-05-20
INTE9400642A,59083,Bissezeele,59.0,Sécheresse,1992-01-01,1993-09-30,1995-01-12,1995-01-31,2022-05-20
INTE9800356A,59083,Bissezeele,59.0,Sécheresse,1994-01-01,1997-12-31,1998-09-18,1998-10-03,2022-05-20
IOME2308745A,59083,Bissezeele,59.0,Sécheresse,2022-06-30,2022-09-29,2023-04-02,2023-05-02,
INTE1228647A,59084,Blaringhem,59.0,Sécheresse,2011-04-01,2011-06-30,2012-07-11,2012-07-17,2022-05-24
INTE2112080A,59084,Blaringhem,59.0,Sécheresse,2020-04-01,2020-06-30,2021-04-20,2021-05-07,2022-05-24
INTE9000100A,59084,Blaringhem,59.0,Sécheresse,1989-06-01,1989-12-31,1990-03-09,1990-03-22,2022-05-20
INTE9100177A,59084,Blaringhem,59.0,Sécheresse,1990-01-01,1990-12-31,1991-03-28,1991-04-17,2022-05-20
INTE9300001A,59084,Blaringhem,59.0,Sécheresse,1991-01-01,1991-12-31,1993-01-25,1993-02-07,2022-05-20
INTE9300656A,59084,Blaringhem,59.0,Sécheresse,1992-01-01,1992-12-31,1993-12-06,1993-12-28,2022-05-20
